monthyr,name,session,users,pageviews,streaming event
DEC2014,minnesota public radio,2922083,1745443,4991533,0
DEC2014,WBUR,2603330,1888249,3940552,1.54E-06
DEC2014,KQED,2557974,1830275,3973103,0.099237522
DEC2014,Southern California Public Radio,1195039,862898,1714864,0
DEC2014,WAMU 88.5,867510,445402,1570446,0
DEC2014,WHYY,728899,504921,1023820,0
DEC2014,KPBS,549840,412115,940367,0
DEC2014,Oregon Public Broadcasting,512228,339036,1042896,0
DEC2014,Chicago Public Media,419460,283548,1807681,0
DEC2014,KEXP,396947,202701,841795,1.26E-05
DEC2014,Public Media for North Texas,372510,252654,684821,0.001814716
DEC2014,KPLU,346304,270472,470927,0.043727476
DEC2014,Vermont Public Radio,331633,161512,607961,0.014262754
DEC2014,Michigan Radio,326236,239581,488195,0.093849238
DEC2014,Colorado Public Radio,318877,170570,556581,0
DEC2014,KUOW,296884,211813,480179,0.076925668
DEC2014,WFUV,272746,115792,568346,0
DEC2014,WXPN,267605,193298,745231,6.35E-05
DEC2014,WGBH,236430,197421,353223,0.033455991
DEC2014,KCUR,213764,165498,345301,0.059168054
DEC2014,North Carolina Public Radio - WUNC,207117,153731,324020,0.138472458
DEC2014,St. Louis Public Radio,206914,147518,340421,0.047841132
DEC2014,Capital Public Radio,200062,115950,357275,5.00E-06
DEC2014,ideastream,188207,114689,299711,0
DEC2014,Indiana Public Media / WFIU,187532,159424,261275,3.73E-05
DEC2014,KUT,179702,125882,275966,0.15481742
DEC2014,NHPR,162409,107754,293632,0.119703957
DEC2014,Louisville Public Media,157796,95688,248386,0.124996831
DEC2014,WABE,146689,101938,262276,0.117895684
DEC2014,WAMC Northeast Public Radio,145869,93030,274823,0.202825823
DEC2014,Houston Public Media,144864,84816,244819,0.210397338
DEC2014,Maine Public Broadcasting Network (MPBN),141356,86742,250542,0.005956592
DEC2014,Nashville Public Radio,140823,107159,209074,0
DEC2014,KUSC,132082,54074,218916,0
DEC2014,WKSU,126725,79033,248626,0
DEC2014,WLRN,124330,93175,210216,0.129478002
DEC2014,KUNC,123039,92457,200153,0.127845642
DEC2014,WBGO,116913,48875,296134,0
DEC2014,WNPR,94935,65875,178582,0.127855901
DEC2014,WUWM 89.7 FM - Milwaukee Public Radio,92419,64348,168511,0.104718727
DEC2014,witf,87970,64281,169812,0
DEC2014,Iowa Public Radio,85884,54436,153763,0.196858553
DEC2014,KSTX,84889,59002,136189,0.165109732
DEC2014,NET Radio,82879,65744,142499,8.45E-05
DEC2014,West Virginia Public Broadcasting,80073,58692,131100,0.014336918
DEC2014,WESA,79423,57341,127468,0.152071818
DEC2014,WVTF & RADIO IQ,77951,59782,127725,0.137086118
DEC2014,WFAE,77764,51987,134073,0.185677177
DEC2014,KUAZ-AM/FM,76941,47973,178835,0.101987237
DEC2014,KWGS,75838,44182,102064,0.088464886
DEC2014,KUER,73089,40343,128794,0.165182175
DEC2014,KWSU,72017,49721,120679,0.179221573
DEC2014,Rhode Island Public Radio,70004,44272,127375,0.060525113
DEC2014,WRTI,69706,31246,159352,0.459458296
DEC2014,WYPR Your Public Radio,67981,43597,125689,0.163913446
DEC2014,KALW,67824,49376,122268,0.117952347
DEC2014,Capital Community Broadcasting,66388,35752,122610,7.53E-05
DEC2014,Jefferson Public Radio,66023,35092,122837,0.186389592
DEC2014,Wyoming Public Media,64522,44361,98989,0.131815505
DEC2014,WNCW,62289,34309,126220,0.193549423
DEC2014,Nevada Public Radio,61332,42496,113625,0.01067958
DEC2014,WMHT,61294,42282,118546,0
DEC2014,Boise State Public Radio,60924,46165,108900,0.111450332
DEC2014,WFYI,58837,32982,131809,0.000356918
DEC2014,89.9 WWNO New Orleans Public Radio,57919,33539,108854,0.20744488
DEC2014,KGOU,56566,46494,92854,0.056447336
