monthyr,name,session,users,pageviews,streaming event
Jan2015,WBUR,3189679,2262466,4908224,1.10E-05
Jan2015,minnesota public radio,2827704,1666487,4660109,0
Jan2015,KQED,2631005,1846347,4232622,0.107785808
Jan2015,Southern California Public Radio,1328788,980325,1889185,0
Jan2015,WAMU 88.5,934407,476164,1684091,0
Jan2015,WHYY,836908,551850,1161872,0
Jan2015,Oregon Public Broadcasting,625876,418753,1247290,0
Jan2015,KUOW,533457,421331,752374,0.069596987
Jan2015,KPBS,531980,389804,878984,0
Jan2015,Public Media for North Texas,473504,328567,843498,0.001767673
Jan2015,KEXP,448438,235961,809071,1.78E-05
Jan2015,Chicago Public Media,448416,308994,2020354,0
Jan2015,Colorado Public Radio,345364,181032,598687,0
Jan2015,St. Louis Public Radio,320752,244307,485133,0.033377812
Jan2015,Vermont Public Radio,319888,158414,585959,0.007637048
Jan2015,Michigan Radio,311186,226893,476312,0.053511405
Jan2015,WXPN,285641,202351,776765,6.30E-05
Jan2015,WFUV,268066,110942,541897,0
Jan2015,Capital Public Radio,252211,166634,455200,0
Jan2015,Indiana Public Media / WFIU,230261,191839,324794,0
Jan2015,KUT,229124,165451,344585,0.139304481
Jan2015,WGBH,228354,181579,355269,0.031994184
Jan2015,ideastream,222608,136278,345702,0
Jan2015,WABE,222090,152217,405719,0.097672115
Jan2015,KPLU,208707,131458,308687,0.085718256
Jan2015,North Carolina Public Radio - WUNC,201059,139484,317704,0.166219866
Jan2015,KCUR,193967,137619,324013,0.075373646
Jan2015,Louisville Public Media,187089,118479,276838,0.109643004
Jan2015,NHPR,179109,117697,315415,0.123656544
Jan2015,Boise State Public Radio,170670,142358,237088,0.046557684
Jan2015,Houston Public Media,169176,96918,277004,0.212205041
Jan2015,WNPR,168416,131948,287602,0.082688106
Jan2015,WAMC Northeast Public Radio,163177,98955,311483,0.208546548
Jan2015,WLRN,137335,100806,232262,0.135682819
Jan2015,Maine Public Broadcasting Network (MPBN),136811,80288,255577,0.00294567
Jan2015,KUSC,133610,52865,210361,0
Jan2015,Capital Community Broadcasting,131283,94223,200053,0
Jan2015,WBGO,127208,51993,277958,2.36E-05
Jan2015,witf,125673,89153,228622,7.96E-06
Jan2015,Iowa Public Radio,118932,78794,200616,0.167944708
Jan2015,WESA,118651,88400,177571,0.123707343
Jan2015,KSTX,113846,80849,184528,0.143026545
Jan2015,WKSU,109474,66720,206108,9.13E-06
Jan2015,NET Radio,98312,71542,175233,0.000213606
Jan2015,WFAE,96766,62065,172726,0.199005849
Jan2015,West Virginia Public Broadcasting,96739,69905,158008,0.016198224
Jan2015,KUNC,96240,66576,165827,0.177826268
Jan2015,KUER,96115,60451,155800,0.142849711
Jan2015,KWGS,90924,43957,115389,0.076712419
Jan2015,Nashville Public Radio,90506,58248,155293,0.038052726
Jan2015,KALW,89900,66197,154122,0.099443826
Jan2015,WUWM 89.7 FM - Milwaukee Public Radio,88338,59383,158222,0.117254183
Jan2015,Rhode Island Public Radio,87462,56482,148108,0.059271455
Jan2015,WYPR Your Public Radio,80801,51389,136861,0.177906214
Jan2015,KUAZ-AM/FM,79552,45896,202239,0.116326428
Jan2015,WPSU,78551,39836,139980,0.028109127
Jan2015,KWSU,77935,51398,126160,0.179649708
Jan2015,Cincinnati Public Radio,77676,53260,127644,0.073793707
Jan2015,WRTI,77010,32535,176033,0.458304116
Jan2015,89.9 WWNO New Orleans Public Radio,74336,45423,133361,0.194602884
Jan2015,Wyoming Public Media,73265,47736,105832,0.137650993
Jan2015,WFYI,70897,38687,154725,0.000409044
Jan2015,Jefferson Public Radio,67918,35853,122890,0.184914161
Jan2015,Nevada Public Radio,66452,46188,122087,0.012445073
Jan2015,WMHT,63950,41611,111513,0
Jan2015,WNCW,62452,33062,125987,0.189105233
Jan2015,WUSF Public Media,62257,47337,113717,0.004352924
Jan2015,MTPR,61039,36345,104821,0.217582202
Jan2015,WRVO Public Media,59145,36207,103644,0.197193338
Jan2015,Illinois Public Media,58018,30015,115210,0
Jan2015,WKAR,55213,37085,93329,0.0459131
Jan2015,WVTF & RADIO IQ,53093,34662,89206,0.229691296
Jan2015,New England Public Radio,52932,36092,80068,1.89E-05
Jan2015,KRWG,52049,34252,74479,0.028242618
Jan2015,KGOU,51139,38792,78469,0.065761943
Jan2015,WMRA,50436,30026,65853,0.096895075
Jan2015,WGCU,50206,32864,86742,0.114348883
Jan2015,South Dakota Public Broadcasting,49642,33767,157015,0.017545627
Jan2015,KLCC,47537,31024,76774,0.182300103
Jan2015,KUNM,47210,30711,79109,0.134971404
Jan2015,WXXI Public Broadcasting,46731,33801,83906,0.086687638
Jan2015,KMUW,46375,29821,78440,0.074673854
Jan2015,WNKU,45590,25779,75290,0.289471375
Jan2015,WQED Multimedia,45095,27072,115568,0
Jan2015,WUIS,45032,32651,75208,0.071216024
Jan2015,northern public radio,42663,27895,69225,0.208377282
Jan2015,WFSU,42637,35626,67184,0.044937496
Jan2015,KBIA,41554,31310,63551,0.088848246
Jan2015,WCBE,40387,29834,63862,0.089905168
Jan2015,KRCC,40239,23919,62408,0.139392132
Jan2015,WMFE,40030,18929,79854,0.213564826
Jan2015,WUFT-FM,39391,27628,64204,0
Jan2015,WCLK,39095,23479,62939,0.303107814
Jan2015,WCQS,39061,24935,58400,0.222062927
Jan2015,WJCT,38831,32752,63337,0.045530633
Jan2015,WEMU 89.1,38750,27887,59044,0.084954839
Jan2015,KUVO,38445,22654,64516,0.297333854
Jan2015,WHRV FM,38444,15213,51522,0
Jan2015,WFDD,38372,27611,65773,0.214453247
