monthyr,name,session,users,pageviews,streaming event
Mar2015,WBUR,3578828,2512999,5341213,0
Mar2015,KQED,2897172,2070244,4409368,0.098521248
Mar2015,minnesota public radio,2782717,1586183,4612857,0
Mar2015,Southern California Public Radio,1198288,858000,1756024,0
Mar2015,WAMU 88.5,1080239,567319,1963681,9.26E-07
Mar2015,WHYY,895376,600157,1312256,0
Mar2015,WABE,647297,548301,1080327,0.032271121
Mar2015,Oregon Public Broadcasting,643339,431499,1237806,0
Mar2015,Public Media for North Texas,631233,471489,1055773,0.001344987
Mar2015,KPBS,562993,413286,927944,1.78E-06
Mar2015,Chicago Public Media,497136,350208,2106159,0
Mar2015,Colorado Public Radio,478014,288800,733082,0
Mar2015,KEXP,410639,208140,764943,1.70E-05
Mar2015,Michigan Radio,375961,276260,561239,0.01385782
Mar2015,KUOW,293675,195155,471175,0.161848983
Mar2015,WXPN,290622,211006,778677,6.19E-05
Mar2015,Vermont Public Radio,284992,150127,505521,0.002305328
Mar2015,WFUV,277663,116808,548723,0
Mar2015,Indiana Public Media / WFIU,256130,214353,358455,3.90E-05
Mar2015,KUT,253870,178912,381313,0.124772521
Mar2015,Capital Public Radio,227692,147033,413369,4.39E-06
Mar2015,NHPR,214676,146589,384085,0.104678679
Mar2015,St. Louis Public Radio,207077,141622,323381,0.042761871
Mar2015,KCUR,201605,151942,333522,0.047811314
Mar2015,ideastream,199669,127086,329704,0
Mar2015,KPLU,196809,115839,298895,0.112403396
Mar2015,WGBH,193302,149532,311222,0.027982121
Mar2015,Houston Public Media,181233,107356,299037,0.1993787
Mar2015,Louisville Public Media,174071,112390,285230,0.000465327
Mar2015,NET Radio,171065,128192,326995,5.85E-05
Mar2015,North Carolina Public Radio - WUNC,153201,104301,242669,0.201421662
Mar2015,WAMC Northeast Public Radio,149918,93915,284779,0.218839632
Mar2015,WFYI,146856,105368,263025,0.000320041
Mar2015,WLRN,146140,111205,244865,0.120234022
Mar2015,Maine Public Broadcasting Network (MPBN),146086,86190,260752,0.001533343
Mar2015,WBGO,140534,59392,363096,0
Mar2015,KUSC,133977,52876,211965,0
Mar2015,WNPR,124153,84931,206397,0.017011268
Mar2015,WKSU,121313,75633,232916,0
Mar2015,West Virginia Public Broadcasting,119198,89364,190558,0.009446467
Mar2015,witf,116794,81000,220593,0
Mar2015,KSTX,113602,84797,166857,0.115121213
Mar2015,WUWM 89.7 FM - Milwaukee Public Radio,102254,71777,171908,0.111575097
Mar2015,South Dakota Public Broadcasting,100164,60042,330395,0.009065133
Mar2015,WFAE,96026,67221,169562,0.165163602
Mar2015,KUNC,93494,63373,157752,0.195916315
Mar2015,Iowa Public Radio,89373,53238,169226,0.19804639
Mar2015,KUAZ-AM/FM,88540,54241,192026,0.106370002
Mar2015,KALW,87340,64662,155510,0.103079918
Mar2015,Nevada Public Radio,84729,60357,166736,0.006278842
Mar2015,Capital Community Broadcasting,83668,48180,148028,0
Mar2015,WXXI Public Broadcasting,82779,53654,122123,0.08860943
Mar2015,WRTI,81539,34762,181023,0.462735623
Mar2015,Nashville Public Radio,78559,46105,153026,0.138341883
Mar2015,KWSU,75793,51272,129732,0.187735015
Mar2015,89.9 WWNO New Orleans Public Radio,75097,43675,136462,0.197264871
Mar2015,WYPR Your Public Radio,74396,45023,137010,0.19683854
Mar2015,WESA,74366,50419,120823,0.157276175
Mar2015,Boise State Public Radio,73940,54638,116241,0.10921017
Mar2015,Rhode Island Public Radio,69912,41661,125724,0.107649617
Mar2015,KUER,69215,34754,118208,0.202701727
Mar2015,WUSF Public Media,67242,49588,123259,0.004535856
Mar2015,Cincinnati Public Radio,66787,46686,103019,0.019330109
Mar2015,WRVO Public Media,65801,43160,108433,0.170696494
Mar2015,KMUW,60629,45346,97189,0.053439773
Mar2015,KGOU,57310,45254,98244,0.062659222
Mar2015,Jefferson Public Radio,56530,27436,109343,0.215496197
Mar2015,WVTF & RADIO IQ,55521,37244,95589,0.210082671
Mar2015,WNCW,54165,27684,110311,0.222579156
Mar2015,WMHT,53468,35251,98201,0
Mar2015,WMFE,52558,28913,95896,0.159690247
Mar2015,Wyoming Public Media,52438,33955,83459,0.188927877
Mar2015,WRKF,50597,43899,64151,0.057394707
Mar2015,MTPR,49143,28030,93135,0.215452862
Mar2015,WQED Multimedia,48928,29657,129818,0
Mar2015,KWGS,48254,29774,70771,0.153355162
Mar2015,Illinois Public Media,48177,23434,100096,2.08E-05
Mar2015,WKAR,48129,31877,86069,0.050136093
Mar2015,WUFT-FM,47671,34150,73562,0
Mar2015,KBIA,47623,37861,74977,0.085084938
Mar2015,WPSU,46948,25978,79052,0.050822186
Mar2015,WBFO,46222,32520,78268,0.176755657
Mar2015,New England Public Radio,45491,31301,76819,0.000131894
Mar2015,WNKU,41465,22797,74452,0.337224165
Mar2015,WHRV FM,40075,14510,54346,0
Mar2015,WJCT,39421,32398,65829,0.043327161
Mar2015,KRWG,38118,27388,62673,0.039823705
Mar2015,Mississippi Public Broadcasting,37364,24646,79723,0
Mar2015,northern public radio,37182,25122,65535,0.213866925
Mar2015,WSHU,36708,21254,67015,0.313092514
Mar2015,WDAV Classical Public Radio,36655,19388,65908,0
Mar2015,KUNM,35562,23134,68431,0.189190709
Mar2015,WBHM 90.3 Birmingham,35320,33695,41249,0
Mar2015,WCBE,35208,27390,60211,0.105402181
Mar2015,WGCU,35077,21102,67232,0.167346124
Mar2015,KVPR,34612,27006,53684,0.107621634
Mar2015,KUAR,33586,25304,56997,0.116893944
Mar2015,WFSU,33581,26582,52354,0.049254042
Mar2015,KLCC,33397,21010,62497,0.169087044
