monthyr,name,session,users,pageviews,streaming event
Sep2014,KQED,2912314,2123178,4482672,0.000188167
Sep2014,WBUR,2738536,1944477,4245723,0
Sep2014,minnesota public radio,2334405,1266806,3977291,0
Sep2014,Southern California Public Radio,1180523,837820,1709199,0
Sep2014,WHYY,753735,502909,1085283,0
Sep2014,KPBS,565072,423625,906879,1.77E-06
Sep2014,Chicago Public Media,547880,372999,1982076,3.65E-06
Sep2014,Oregon Public Broadcasting,515575,339430,1021230,0
Sep2014,WAMU 88.5,504754,238141,910228,0
Sep2014,Public Media for North Texas,473001,331601,845283,0.002513737
Sep2014,KEXP,374856,179184,729329,5.07E-05
Sep2014,Colorado Public Radio,353619,206542,579680,3.39E-05
Sep2014,KPLU,351283,284408,516030,0.044024334
Sep2014,Capital Public Radio,293037,193926,486858,0
Sep2014,WXPN,267634,195539,727172,5.98E-05
Sep2014,WFUV,257274,106824,541811,0
Sep2014,Michigan Radio,254846,166258,432108,0.186551878
Sep2014,North Carolina Public Radio - WUNC,247397,182032,415627,0.139257954
Sep2014,St. Louis Public Radio,236155,168201,404881,0.049332007
Sep2014,KUOW,226078,139568,407552,0.15944497
Sep2014,Indiana Public Media / WFIU,223551,193513,309889,4.47E-06
Sep2014,Vermont Public Radio,214262,112482,416590,0.057779728
Sep2014,KUT,192324,130721,322310,0.173774464
Sep2014,ideastream,183148,112691,290876,0
Sep2014,NHPR,183050,125157,346050,0.105779842
Sep2014,KCUR,170734,126431,302591,0.085993417
Sep2014,Louisville Public Media,168595,100060,274505,0.141042142
Sep2014,WGBH,162645,129243,264389,0.042841772
Sep2014,Houston Public Media,156416,89069,274145,0.229963687
Sep2014,WLRN,141089,101778,258749,0.144894357
Sep2014,WAMC Northeast Public Radio,131830,81856,252871,0.208943336
Sep2014,Nashville Public Radio,127049,91014,200673,0
Sep2014,KUSC,124132,50329,198044,0
Sep2014,WABE,120729,76921,224796,0.167043544
Sep2014,Maine Public Broadcasting Network (MPBN),116788,65432,233486,0.01092578
Sep2014,WBGO,111471,47617,286207,0
Sep2014,Rhode Island Public Radio,104881,65946,200002,0.050514393
Sep2014,WKSU,104873,63596,190916,0
Sep2014,WFAE,96409,63013,170560,0.179806865
Sep2014,KUNC,96206,67441,169247,0.15741222
Sep2014,KSTX,94459,61288,159934,0.185953694
Sep2014,WVTF & RADIO IQ,94412,68825,162516,0.125005296
Sep2014,WNPR,94049,64312,181169,0.143138151
Sep2014,KUAZ-AM/FM,93524,60832,218558,0.090500834
Sep2014,NET Radio,91085,68207,163041,0.000186639
Sep2014,WUWM 89.7 FM - Milwaukee Public Radio,87469,60946,160896,0.117538785
Sep2014,Iowa Public Radio,85053,50448,152490,0.221461912
Sep2014,witf,81222,57501,155010,0
Sep2014,Jefferson Public Radio,80312,48758,154740,0.141062357
Sep2014,West Virginia Public Broadcasting,80139,57431,138967,0.021837058
Sep2014,KUER,77990,41999,139240,0.168136941
Sep2014,WESA,77129,53345,132085,0.134307459
Sep2014,WUFT-FM,74871,59697,117846,0
Sep2014,KALW,72393,51857,140634,0.124611496
Sep2014,KWSU,66655,45273,114754,0.190338309
Sep2014,WRTI,65692,28829,166788,0.454149668
Sep2014,WYPR -Your Public Radio,65110,38701,115036,0.172999539
Sep2014,Boise State Public Radio,64666,48621,117515,0.116212538
Sep2014,WFYI,64352,37169,142185,0.00065266
Sep2014,89.9 WWNO,63090,36483,120081,0.219654462
Sep2014,KWGS,62391,39246,93746,0.126845218
Sep2014,Capital Community Broadcasting,61802,34029,112861,0
Sep2014,Wyoming Public Media,61739,41273,107195,0.157906672
Sep2014,Nevada Public Radio,59243,37915,120564,0.013182992
Sep2014,Cincinnati Public Radio,57345,39479,99635,0.104019531
Sep2014,WRVO Public Media,57074,35709,95960,0.209394821
Sep2014,WUSF Public Media,56072,40651,107272,0.005189756
Sep2014,Illinois Public Media,54261,24466,101496,0
Sep2014,WNCW,51258,26332,99637,0.216824691
Sep2014,New England Public Radio,48493,32306,80765,0
Sep2014,WXXI Public Broadcasting,47394,34727,84662,0.069650167
Sep2014,MTPR,45142,25358,87842,0.264986044
Sep2014,WHRV FM,44920,22859,58087,0
Sep2014,WKAR,44633,29155,79941,0.053458204
Sep2014,WMHT,41668,27283,82951,0
Sep2014,KVPR,40030,31155,62794,0.087409443
Sep2014,WJCT,39985,33104,66650,0.05754658
Sep2014,KRWG,39919,30023,63107,0.034344548
Sep2014,WQED Multimedia,38158,23992,106235,2.62E-05
Sep2014,KGOU,38018,28480,68593,0.104529433
Sep2014,WNKU,37950,21962,66592,0.316073781
Sep2014,KLCC,36956,24639,62205,0.216446585
Sep2014,northern public radio,36638,24187,63052,0.223128992
Sep2014,KMUW,36334,23663,67049,0.096135851
Sep2014,KBIA,35891,28241,54363,0.06489092
Sep2014,KUNM,35435,23521,65793,0.188316636
Sep2014,WDAV Classical Public Radio,35040,17407,61659,0
Sep2014,WYSO,34315,23826,65777,0.19376366
Sep2014,WCBU peoria public radio,34156,28430,50832,0.01961588
Sep2014,WGCU,33722,21183,61239,0.118320384
Sep2014,South Dakota Public Broadcasting,33616,23401,102691,0.030759162
Sep2014,WMFE,31570,13987,64544,0.049445676
Sep2014,WUIS,31397,23291,51923,0.082332707
Sep2014,WFSU,31077,24057,54128,0.059786981
Sep2014,WCBE,30855,23555,53198,0.105979582
Sep2014,WMRA,30584,20947,42169,0.147658907
Sep2014,KNAU,30389,21042,44876,0.214386785
Sep2014,Interlochen Public Radio,30104,20460,51702,0.151474887
Sep2014,KUAR,30060,22094,49037,0.132701264
Sep2014,WCLK,29802,17163,52112,0.398328971
Sep2014,WPSU,29599,20310,65882,0.080982466
Sep2014,KUVO,29300,17116,52685,0.349556314
Sep2014,KRCC,29167,18693,47150,0.158946755
Sep2014,WEMU 89.1,28964,21771,45553,0.137032178
