monthyr,name,session,users,pageviews,streaming event
Apr2015,KQED,3064928,2203206,4543069,0.09005236
Apr2015,WBUR,2698410,1865111,4208424,1.19E-05
Apr2015,minnesota public radio,2637813,1566020,4194626,0
Apr2015,Southern California Public Radio,1145648,841927,1641987,0
Apr2015,WAMU 88.5,983285,478796,1777752,0
Apr2015,WHYY,786786,515030,1172182,0
Apr2015,Chicago Public Media,619064,461007,2173624,0
Apr2015,Oregon Public Broadcasting,590235,394276,1113232,0
Apr2015,KPBS,506834,370261,844449,0
Apr2015,Public Media for North Texas,460662,317749,770933,0.000186688
Apr2015,Vermont Public Radio,441598,312946,649249,0.001662145
Apr2015,KEXP,429864,216559,760076,5.82E-05
Apr2015,KUOW,426207,322865,603083,0.112762109
Apr2015,Colorado Public Radio,374660,200999,608096,0
Apr2015,Michigan Radio,350777,252196,524641,0.057030535
Apr2015,WABE,315858,235647,532944,0.056993966
Apr2015,WXPN,291981,213936,768183,3.42E-05
Apr2015,KUT,282678,218140,410337,0.102611452
Apr2015,Indiana Public Media / WFIU,263933,223213,363470,1.14E-05
Apr2015,Capital Public Radio,228887,149274,417698,0
Apr2015,St. Louis Public Radio,217115,156754,323106,0.037970661
Apr2015,KCUR,206264,153146,304065,0.007950975
Apr2015,NHPR,203522,145272,342921,0.105905013
Apr2015,WGBH,191906,150143,299176,0.011609851
Apr2015,KPLU,188589,115022,280499,0.102444999
Apr2015,Houston Public Media,182200,111619,295266,0.175043908
Apr2015,WFUV,166450,62855,291084,0
Apr2015,Louisville Public Media,160018,101500,260251,8.12E-05
Apr2015,KUSC,152115,57064,265617,0
Apr2015,North Carolina Public Radio - WUNC,141147,98417,212643,0.187605829
Apr2015,WAMC Northeast Public Radio,138751,87514,265271,0.214621877
Apr2015,WNPR,134863,98885,208822,0.011789742
Apr2015,WBGO,128710,53457,328628,0
Apr2015,West Virginia Public Broadcasting,123742,97110,177150,0.002084983
Apr2015,Maine Public Broadcasting Network (MPBN),122503,71501,220138,0.00173057
Apr2015,WLRN,121860,89069,208843,0.149031676
Apr2015,Iowa Public Radio,104762,66555,200383,0.162625761
Apr2015,WKSU,103675,63105,195457,0
Apr2015,NET Radio,103431,72285,180513,9.67E-05
Apr2015,KUER,99928,62838,155783,0.123789128
Apr2015,witf,96015,70353,171662,0
Apr2015,KUNC,93079,65309,156142,0.176677876
Apr2015,WUWM 89.7 FM - Milwaukee Public Radio,92471,63298,144987,0.075710223
Apr2015,Capital Community Broadcasting,92185,51603,161911,0
Apr2015,KSTX,89193,63675,139752,0.136793246
Apr2015,KALW,88636,66957,152030,0.09084345
Apr2015,Nashville Public Radio,88452,54073,171099,0.118798897
Apr2015,Rhode Island Public Radio,86466,56316,143654,0.085432424
Apr2015,WYPR Your Public Radio,84529,53824,143906,0.192052432
Apr2015,KUAZ-AM/FM,80750,48237,174528,0.107083591
Apr2015,Nevada Public Radio,78223,54667,147529,0
Apr2015,WFAE,77249,52213,135994,0.18809305
Apr2015,WRTI,75285,31693,167725,0.447911271
Apr2015,Wyoming Public Media,72859,52745,107995,0.133175037
Apr2015,WXXI Public Broadcasting,71380,44892,107821,0.093135332
Apr2015,WESA,69693,48433,113882,0.134618972
Apr2015,KWSU,69605,48104,117970,0.189282379
Apr2015,Boise State Public Radio,69361,51151,117346,0.117558859
Apr2015,WUSF Public Media,66641,47245,122856,0.005041941
Apr2015,WUFT-FM,66513,51467,98393,0
Apr2015,MTPR,62452,36784,131901,0.114071607
Apr2015,Cincinnati Public Radio,61605,41051,103535,0.014284555
Apr2015,89.9 WWNO New Orleans Public Radio,58799,31403,109174,0.238337387
Apr2015,Jefferson Public Radio,51368,24022,100880,0.223913721
Apr2015,WRVO Public Media,50501,30798,88891,0.215025445
Apr2015,KBIA,46476,35800,75590,0.084968586
Apr2015,WNCW,45600,22062,94066,0.19370614
Apr2015,WFYI,44195,39481,58189,0
Apr2015,WBFO,43355,30561,73659,0.163787337
Apr2015,WVTF & RADIO IQ,43348,27525,73040,0.248246747
Apr2015,WMFE,43027,21702,78527,0.195853766
Apr2015,Illinois Public Media,42310,21139,85641,0
Apr2015,WMHT,42030,27510,74240,0
Apr2015,WKAR,41745,27189,74461,0.056461852
Apr2015,KWGS,41030,25286,66076,0.178381672
