monthyr,name,session,users,pageviews,streaming event
Oct2014,WBUR,2860106,2000556,4395965,1.75E-06
Oct2014,minnesota public radio,2585036,1482084,4843888,0
Oct2014,KQED,2118834,1444115,3457274,2.60E-05
Oct2014,Southern California Public Radio,1201755,854410,1942113,0
Oct2014,WHYY,1042179,767718,1397448,0
Oct2014,WAMU 88.5,691416,372094,1211491,4.34E-06
Oct2014,KPBS,615985,455525,1074421,0
Oct2014,Public Media for North Texas,550116,390013,968894,0.002437668
Oct2014,Oregon Public Broadcasting,528302,337373,1103659,3.79E-06
Oct2014,Chicago Public Media,516681,321984,2083509,0
Oct2014,Michigan Radio,443108,323031,705901,0.114403261
Oct2014,KEXP,403837,187388,811458,3.22E-05
Oct2014,WXPN,403810,261921,1483815,2.72E-05
Oct2014,Colorado Public Radio,364159,207570,679543,0
Oct2014,KPLU,321324,250686,541667,0.053895756
Oct2014,KUOW,292811,191522,516642,0.130872816
Oct2014,WFUV,269043,106903,580662,0
Oct2014,KCUR,251973,195971,409359,0.057787938
Oct2014,Vermont Public Radio,251434,133838,469590,0.037731572
Oct2014,North Carolina Public Radio - WUNC,240764,171381,397428,0.14438205
Oct2014,St. Louis Public Radio,234322,156145,403425,0.048271182
Oct2014,Indiana Public Media / WFIU,231644,199912,320274,2.16E-05
Oct2014,Capital Public Radio,228308,132225,385771,0
Oct2014,KUT,207962,136814,339616,0.155639011
Oct2014,ideastream,202880,123257,326851,0
Oct2014,WGBH,200520,158693,326283,0.038415121
Oct2014,NHPR,191407,131064,344905,0.109483979
Oct2014,Louisville Public Media,173073,101855,280186,0.14599042
Oct2014,Houston Public Media,160097,91948,276012,0.220922316
Oct2014,WABE,156803,106277,284608,0.129028144
Oct2014,WLRN,145875,106044,256980,0.133840617
Oct2014,Maine Public Broadcasting Network (MPBN),144593,82383,296406,0.012842945
Oct2014,WAMC Northeast Public Radio,144294,90495,271352,0.18670908
Oct2014,Nashville Public Radio,136357,97784,222514,0
Oct2014,KUSC,131477,55082,216431,0
Oct2014,WNPR,131306,93414,241021,0.107542687
Oct2014,WBGO,119903,50929,308800,0
Oct2014,WKSU,108538,66777,198707,0
Oct2014,witf,105075,78062,186331,0
Oct2014,KUNC,104888,72812,187671,0.174853177
Oct2014,WFAE,103175,69423,182239,0.163935062
Oct2014,WUWM 89.7 FM - Milwaukee Public Radio,100548,72822,185999,0.111668059
Oct2014,West Virginia Public Broadcasting,99844,74213,167993,0.018228436
Oct2014,KCBX,98729,87786,122595,0.043087644
Oct2014,WVTF & RADIO IQ,93219,65346,162846,0.127377466
Oct2014,Iowa Public Radio,91743,54639,172453,0.209269372
Oct2014,KSTX,91613,58246,155108,0.193848035
Oct2014,NET Radio,87962,66277,154984,0.00015916
Oct2014,KUAZ-AM/FM,82093,50091,198496,0.114467738
Oct2014,KUER,82055,46504,144412,0.175821096
Oct2014,Boise State Public Radio,81580,57815,144206,0.105038
Oct2014,Rhode Island Public Radio,80122,48426,153666,0.064064801
Oct2014,KALW,79755,59385,142245,0.107617077
Oct2014,WESA,73618,50403,131389,0.151430357
Oct2014,WRTI,73205,32752,170799,0.452004644
Oct2014,South Dakota Public Broadcasting,72776,49964,304818,0.013562163
Oct2014,Capital Community Broadcasting,69251,37012,130903,0
Oct2014,WUSF Public Media,68767,51792,124234,0.003926302
Oct2014,WUFT-FM,67951,50261,106162,1.47E-05
Oct2014,WYPR Your Public Radio,67847,44403,126614,0.146904064
Oct2014,KWSU,67593,44383,126930,0.208172444
Oct2014,KWGS,67186,44280,104544,0.116869586
Oct2014,Jefferson Public Radio,66531,35915,130340,0.177045287
Oct2014,Nevada Public Radio,66490,44457,130761,0.010843736
Oct2014,WFYI,65127,37071,139822,0.000429929
Oct2014,89.9 WWNO New Orleans Public Radio,61313,34101,118157,0.227309054
Oct2014,Cincinnati Public Radio,60724,41935,105254,0.102842369
Oct2014,Wyoming Public Media,59274,38949,108269,0.17009144
Oct2014,WSHU,58301,41796,95472,0.207097648
Oct2014,WRVO Public Media,54740,32496,95857,0.236919985
Oct2014,Illinois Public Media,53203,21572,100231,0
Oct2014,WKAR,53056,35325,93555,0.04990953
Oct2014,MTPR,52035,29674,103030,0.24427789
Oct2014,WNCW,51919,26095,103616,0.229838787
Oct2014,WXXI Public Broadcasting,49176,36094,84276,0.074284204
Oct2014,New England Public Radio,45917,29008,83845,0
Oct2014,WHRV FM,43822,20772,57467,0
Oct2014,WJCT,42316,35413,66237,0.048232347
Oct2014,KGOU,42252,32019,79787,0.101438985
Oct2014,WQED Multimedia,41731,25673,114457,0
Oct2014,WMHT,41373,26447,78542,0
Oct2014,WMFE,40380,17961,87593,0.211342249
Oct2014,WFSU,37890,30377,62930,0.052414885
Oct2014,WPSU,37161,26383,83311,0.071257501
Oct2014,WNKU,37063,20204,65451,0.357580336
Oct2014,KUVO,37061,22534,75201,0.287876744
Oct2014,KBIA,36842,27816,60067,0.073557353
Oct2014,WUIS,35908,25922,58504,0.083212655
Oct2014,KMUW,35307,22160,67985,0.103152349
Oct2014,WBHM 90.3 Birmingham,35270,33582,47011,0
Oct2014,northern public radio,35053,22746,62288,0.244743674
Oct2014,WGCU,34989,22076,63882,0.119266055
Oct2014,WDAV Classical Public Radio,34754,17908,62812,0
Oct2014,KLCC,33863,20869,62477,0.259723002
Oct2014,WFDD,33709,21844,65699,0.22050491
Oct2014,KNAU,33683,23212,51074,0.204969866
Oct2014,KUNM,32728,21203,66711,0.188981912
Oct2014,WBFO,32493,27089,57062,0.017573016
Oct2014,KRWG,32076,23346,53345,0.043241053
