monthyr,name,session,users,pageviews,streaming event
FEB2015,WBUR,3528662,2556014,5294176,0
FEB2015,KQED,2313978,1595977,3781590,0.111307454
FEB2015,minnesota public radio,2305118,1322949,3744972,0
FEB2015,Southern California Public Radio,1060952,778681,1569703,0
FEB2015,WAMU 88.5,902094,457139,1653299,0
FEB2015,WHYY,696960,460161,989722,0
FEB2015,Oregon Public Broadcasting,641803,435639,1258643,0
FEB2015,KPBS,475866,349984,788955,0
FEB2015,Chicago Public Media,452688,318406,1939732,0
FEB2015,KEXP,389471,189870,718700,2.57E-05
FEB2015,Public Media for North Texas,384375,262916,700295,0.001789919
FEB2015,Colorado Public Radio,361328,204318,601658,0
FEB2015,Vermont Public Radio,338037,166955,585849,0.002274899
FEB2015,WGBH,282653,227642,423474,0.025518922
FEB2015,Maine Public Broadcasting Network (MPBN),271207,143108,561309,0.000825937
FEB2015,KUOW,267996,179643,423210,0.17307721
FEB2015,Michigan Radio,251066,175612,401358,0.018919328
FEB2015,Indiana Public Media / WFIU,245371,203619,349575,1.22E-05
FEB2015,WXPN,243630,138969,690344,4.10E-05
FEB2015,WFUV,242987,98482,494520,0
FEB2015,WABE,229324,160791,393662,0.082276604
FEB2015,North Carolina Public Radio - WUNC,223977,165523,357876,0.132772561
FEB2015,Capital Public Radio,214706,139653,407605,0
FEB2015,KPLU,210653,136328,302750,0.086322056
FEB2015,NHPR,200266,141737,346138,0.098454056
FEB2015,ideastream,199559,123322,319005,0
FEB2015,St. Louis Public Radio,192121,134210,313946,0.040849256
FEB2015,KCUR,174896,128273,302944,0.075639237
FEB2015,KUT,172813,114404,266058,0.167446893
FEB2015,Houston Public Media,169651,99919,273968,0.20810959
FEB2015,WFYI,156195,115838,263287,0.000320113
FEB2015,Louisville Public Media,139152,84863,221962,0.033078935
FEB2015,WAMC Northeast Public Radio,137259,85221,262216,0.202412957
FEB2015,NET Radio,131459,94604,246325,0.000159746
FEB2015,WLRN,129107,96464,222148,0.130457682
FEB2015,WBGO,125727,53885,327235,0
FEB2015,KUSC,124999,52646,207095,0
FEB2015,West Virginia Public Broadcasting,118625,90878,188702,0.013943098
FEB2015,Iowa Public Radio,115636,79918,190261,0.156344045
FEB2015,WUWM 89.7 FM - Milwaukee Public Radio,107086,75334,185287,0.119091198
FEB2015,witf,104835,72339,194544,9.54E-06
FEB2015,WKSU,99927,60200,189294,0
FEB2015,WNPR,98867,68331,178459,0.090272791
FEB2015,Nashville Public Radio,96397,63207,167525,0.10809465
FEB2015,KUNC,96170,65629,166457,0.190683165
FEB2015,WESA,94638,67861,152209,0.138358799
FEB2015,WPSU,87812,41471,150623,0.025007972
FEB2015,KUER,87194,48780,148968,0.163543363
FEB2015,KSTX,83714,56597,137483,0.176935757
FEB2015,WFAE,82344,54159,147119,0.196298455
FEB2015,Capital Community Broadcasting,81311,46253,146171,0
FEB2015,KUAZ-AM/FM,78602,47324,182687,0.112897891
FEB2015,WUSF Public Media,76132,57225,136147,0.003940524
FEB2015,WRTI,74106,30643,169491,0.455671606
FEB2015,WYPR Your Public Radio,73937,45785,128386,0.181046026
FEB2015,Nevada Public Radio,72566,50337,132076,0.011658352
FEB2015,KALW,71701,52078,130351,0.113373593
FEB2015,Cincinnati Public Radio,71178,51339,114920,0.056084745
FEB2015,WXXI Public Broadcasting,69588,46565,111421,0.092357878
FEB2015,Rhode Island Public Radio,67634,41934,119264,0.102093622
FEB2015,89.9 WWNO New Orleans Public Radio,67014,40509,121934,0.197003611
FEB2015,Wyoming Public Media,66684,46850,99818,0.145657129
FEB2015,Boise State Public Radio,66570,49477,109477,0.113429473
FEB2015,KWSU,66419,44925,110664,0.19352896
FEB2015,South Dakota Public Broadcasting,65280,39750,216126,0.01205576
FEB2015,KWGS,62005,36956,84288,0.102959439
FEB2015,KMUW,61256,45164,100570,0.054917069
FEB2015,Jefferson Public Radio,59471,30517,113532,0.208370466
FEB2015,MTPR,56528,34789,98843,0.217892018
FEB2015,WRVO Public Media,53479,33718,94354,0.195646889
FEB2015,WMHT,51407,34524,92185,0
FEB2015,WNCW,51223,26604,99615,0.225933663
FEB2015,KRWG,49997,38441,73089,0.027281637
FEB2015,KUNM,49774,36023,82965,0.11130309
FEB2015,Illinois Public Media,49670,26157,99952,0.000120797
FEB2015,KLCC,47338,31485,82400,0.174003971
FEB2015,WVTF & RADIO IQ,47281,30918,81946,0.226793004
FEB2015,New England Public Radio,46661,31780,73836,0.000192881
FEB2015,WUFT-FM,46339,33146,74694,0
FEB2015,WKAR,45631,30651,78740,0.048497732
FEB2015,WUIS,42525,30500,74442,0.073932981
FEB2015,WNKU,41901,24026,71939,0.304837593
FEB2015,WQED Multimedia,41657,25349,108701,0
FEB2015,WBFO,41588,31727,72887,0.121164759
FEB2015,WCBU peoria public radio,41252,34844,58960,0.028701639
FEB2015,WMFE,40972,20882,74551,0.194962413
FEB2015,WMRA,39874,26067,56531,0.116767819
FEB2015,WGCU,39602,25257,70607,0.14484117
FEB2015,KBIA,39304,30128,65106,0.098870344
FEB2015,WBHM 90.3 Birmingham,38256,37028,43071,0
FEB2015,KGOU,38073,28991,65855,0.082368082
FEB2015,WJCT,37990,31715,61563,0.043616741
FEB2015,WHRV FM,35604,14057,46839,0
FEB2015,WCBE,35602,28023,57114,0.09437672
FEB2015,WCQS,35138,21834,56827,0.234475497
FEB2015,WKMS,35072,26054,64675,0.046561359
FEB2015,northern public radio,34754,22741,62847,0.237440295
FEB2015,WEMU 89.1,33713,24483,52818,0.095156171
FEB2015,KRCC,33285,19922,54579,0.165870512
